n,p,gamma,df,rho,snr,rep,center_X,standardize_X,beta_sparsity,beta_scale,seed,sigma2,empirical_snr,method,mse
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,OLS,62.19998220473201
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,LAD,0.872382594612073
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,Huber,0.797610144501016
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,OLS,32.70932513777546
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,LAD,0.2479675041839831
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,Huber,0.317473308274897
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,OLS,35.10855917016097
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,LAD,1.0165505688390466
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,Huber,0.7122856814563621
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,OLS,54.24058605607563
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,LAD,6.895198784507578
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,Huber,4.453519600921708
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,OLS,67.27100394474579
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,LAD,1.481441317534089
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,Huber,1.4379271309076276
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,OLS,36.29751832387983
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,LAD,0.5781555387641759
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,Huber,0.3635078540466951
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,OLS,36.01579594226148
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,LAD,1.135857306647478
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,Huber,1.4628106682730073
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,OLS,78.6739762180333
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,LAD,0.6096793130169524
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,Huber,0.6029356102100729
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,OLS,29.473834403660398
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,LAD,2.636884599270687
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,Huber,1.9139052854638283
200,40,0.2,1.0,0.0,1.0,23,True,True,,1.0,1027129865,7374.5419207078285,1.0000000000000002,OLS,39.53723191275226
200,40,0.2,1.0,0.0,1.0,23,True,True,,1.0,1027129865,7374.5419207078285,1.0000000000000002,LAD,0.5047892778678174
200,40,0.2,1.0,0.0,1.0,23,True,True,,1.0,1027129865,7374.5419207078285,1.0000000000000002,Huber,0.032779206888987666
200,40,0.2,1.0,0.0,1.0,24,True,True,,1.0,667992085,7753.56648628425,1.0000000000000002,OLS,53.27044030195302
200,40,0.2,1.0,0.0,1.0,24,True,True,,1.0,667992085,7753.56648628425,1.0000000000000002,LAD,7.432891039104393
200,40,0.2,1.0,0.0,1.0,24,True,True,,1.0,667992085,7753.56648628425,1.0000000000000002,Huber,5.059931790746504
200,40,0.2,1.0,0.0,1.0,25,True,True,,1.0,844065626,8362.453008842167,1.0,OLS,50.023903591810836
200,40,0.2,1.0,0.0,1.0,25,True,True,,1.0,844065626,8362.453008842167,1.0,LAD,2.262088803398889
200,40,0.2,1.0,0.0,1.0,25,True,True,,1.0,844065626,8362.453008842167,1.0,Huber,1.8455071824940803
200,40,0.2,1.0,0.0,1.0,26,True,True,,1.0,936302062,6481.685167699832,1.0000000000000002,OLS,46.60391236949259
200,40,0.2,1.0,0.0,1.0,26,True,True,,1.0,936302062,6481.685167699832,1.0000000000000002,LAD,0.887582223710077
200,40,0.2,1.0,0.0,1.0,26,True,True,,1.0,936302062,6481.685167699832,1.0000000000000002,Huber,0.18185553430092063
200,40,0.2,1.0,0.0,1.0,27,True,True,,1.0,1708413424,7679.172508232422,0.9999999999999997,OLS,31.57543595034641
200,40,0.2,1.0,0.0,1.0,27,True,True,,1.0,1708413424,7679.172508232422,0.9999999999999997,LAD,2.1803531275780377
200,40,0.2,1.0,0.0,1.0,27,True,True,,1.0,1708413424,7679.172508232422,0.9999999999999997,Huber,1.7168132743404647
200,40,0.2,1.0,0.0,1.0,28,True,True,,1.0,86328604,5919.953843207904,1.0000000000000002,OLS,41.292627549459915
200,40,0.2,1.0,0.0,1.0,28,True,True,,1.0,86328604,5919.953843207904,1.0000000000000002,LAD,1.5880876055057975
200,40,0.2,1.0,0.0,1.0,28,True,True,,1.0,86328604,5919.953843207904,1.0000000000000002,Huber,0.7936926322005343
200,40,0.2,1.0,0.0,1.0,29,True,True,,1.0,434281855,9442.602285850982,1.0000000000000007,OLS,72.42597744612438
200,40,0.2,1.0,0.0,1.0,29,True,True,,1.0,434281855,9442.602285850982,1.0000000000000007,LAD,0.9209655551260413
200,40,0.2,1.0,0.0,1.0,29,True,True,,1.0,434281855,9442.602285850982,1.0000000000000007,Huber,0.2641332416183978
200,40,0.2,1.0,0.0,5.0,0,True,True,,1.0,495420614,1138.0991671676734,4.999999999999998,OLS,5.235789202896433
200,40,0.2,1.0,0.0,5.0,0,True,True,,1.0,495420614,1138.0991671676734,4.999999999999998,LAD,0.08708237007096231
200,40,0.2,1.0,0.0,5.0,0,True,True,,1.0,495420614,1138.0991671676734,4.999999999999998,Huber,0.009423742021973
200,40,0.2,1.0,0.0,5.0,1,True,True,,1.0,1576827476,1090.8645645746492,5.000000000000001,OLS,7.506145284856245
200,40,0.2,1.0,0.0,5.0,1,True,True,,1.0,1576827476,1090.8645645746492,5.000000000000001,LAD,0.9212719044942179
200,40,0.2,1.0,0.0,5.0,1,True,True,,1.0,1576827476,1090.8645645746492,5.000000000000001,Huber,0.5474524772338576
200,40,0.2,1.0,0.0,5.0,2,True,True,,1.0,245429649,2581.3222297301,5.000000000000001,OLS,16.380593549589655
200,40,0.2,1.0,0.0,5.0,2,True,True,,1.0,245429649,2581.3222297301,5.000000000000001,LAD,1.2445635404480053
200,40,0.2,1.0,0.0,5.0,2,True,True,,1.0,245429649,2581.3222297301,5.000000000000001,Huber,0.8468785043427598
200,40,0.2,1.0,0.0,5.0,3,True,True,,1.0,548981266,1798.1431856855775,5.0,OLS,12.223036972719552
200,40,0.2,1.0,0.0,5.0,3,True,True,,1.0,548981266,1798.1431856855775,5.0,LAD,0.36372284750089845
200,40,0.2,1.0,0.0,5.0,3,True,True,,1.0,548981266,1798.1431856855775,5.0,Huber,0.17481789870168848
200,40,0.2,1.0,0.0,5.0,4,True,True,,1.0,1523416782,1955.6939304955304,5.000000000000001,OLS,13.751275860921897
200,40,0.2,1.0,0.0,5.0,4,True,True,,1.0,1523416782,1955.6939304955304,5.000000000000001,LAD,0.3278623386413346
200,40,0.2,1.0,0.0,5.0,4,True,True,,1.0,1523416782,1955.6939304955304,5.000000000000001,Huber,0.16710301682528308
200,40,0.2,1.0,0.0,5.0,5,True,True,,1.0,167873275,2601.2656013830356,5.000000000000001,OLS,19.14830397696529
200,40,0.2,1.0,0.0,5.0,5,True,True,,1.0,167873275,2601.2656013830356,5.000000000000001,LAD,0.04552034557336832
200,40,0.2,1.0,0.0,5.0,5,True,True,,1.0,167873275,2601.2656013830356,5.000000000000001,Huber,0.03849987717306448
200,40,0.2,1.0,0.0,5.0,6,True,True,,1.0,811098158,2091.292853507633,5.000000000000001,OLS,15.873853690726003
200,40,0.2,1.0,0.0,5.0,6,True,True,,1.0,811098158,2091.292853507633,5.000000000000001,LAD,0.24389435557009867
200,40,0.2,1.0,0.0,5.0,6,True,True,,1.0,811098158,2091.292853507633,5.000000000000001,Huber,0.21669413290416065
200,40,0.2,1.0,0.0,5.0,7,True,True,,1.0,810009056,2097.377339935355,4.999999999999998,OLS,21.986640338286193
200,40,0.2,1.0,0.0,5.0,7,True,True,,1.0,810009056,2097.377339935355,4.999999999999998,LAD,0.2238916559977148
200,40,0.2,1.0,0.0,5.0,7,True,True,,1.0,810009056,2097.377339935355,4.999999999999998,Huber,0.16897771771681516
200,40,0.2,1.0,0.0,5.0,8,True,True,,1.0,2109035035,2390.9860043122126,4.999999999999998,OLS,20.655045080949055
200,40,0.2,1.0,0.0,5.0,8,True,True,,1.0,2109035035,2390.9860043122126,4.999999999999998,LAD,0.23382708037736072
200,40,0.2,1.0,0.0,5.0,8,True,True,,1.0,2109035035,2390.9860043122126,4.999999999999998,Huber,0.1972485765633588
200,40,0.2,1.0,0.0,5.0,9,True,True,,1.0,444301151,1336.1975418637667,5.000000000000001,OLS,6.870961328961843
200,40,0.2,1.0,0.0,5.0,9,True,True,,1.0,444301151,1336.1975418637667,5.000000000000001,LAD,0.12216223966540007
200,40,0.2,1.0,0.0,5.0,9,True,True,,1.0,444301151,1336.1975418637667,5.000000000000001,Huber,0.011916390697166487
200,40,0.2,1.0,0.0,5.0,10,True,True,,1.0,1509732117,806.071250214914,5.000000000000001,OLS,3.4942516457865977
200,40,0.2,1.0,0.0,5.0,10,True,True,,1.0,1509732117,806.071250214914,5.000000000000001,LAD,0.22032252312995074
200,40,0.2,1.0,0.0,5.0,10,True,True,,1.0,1509732117,806.071250214914,5.000000000000001,Huber,0.21073635450674288
200,40,0.2,1.0,0.0,5.0,11,True,True,,1.0,601667918,1710.055300962001,5.0,OLS,8.571329045681564
200,40,0.2,1.0,0.0,5.0,11,True,True,,1.0,601667918,1710.055300962001,5.0,LAD,0.3199765811710379
200,40,0.2,1.0,0.0,5.0,11,True,True,,1.0,601667918,1710.055300962001,5.0,Huber,0.2977430647159278
200,40,0.2,1.0,0.0,5.0,12,True,True,,1.0,1816326969,1162.2002714790274,5.0,OLS,9.98494706493366
200,40,0.2,1.0,0.0,5.0,12,True,True,,1.0,1816326969,1162.2002714790274,5.0,LAD,1.5232896074880418
200,40,0.2,1.0,0.0,5.0,12,True,True,,1.0,1816326969,1162.2002714790274,5.0,Huber,1.4091059602643141
200,40,0.2,1.0,0.0,5.0,13,True,True,,1.0,329198811,1956.7197122432408,4.999999999999997,OLS,12.068955611552804
200,40,0.2,1.0,0.0,5.0,13,True,True,,1.0,329198811,1956.7197122432408,4.999999999999997,LAD,0.3731833040201471
200,40,0.2,1.0,0.0,5.0,13,True,True,,1.0,329198811,1956.7197122432408,4.999999999999997,Huber,0.17527351804459612
200,40,0.2,1.0,0.0,5.0,14,True,True,,1.0,454175949,1394.4633159949944,5.000000000000001,OLS,6.285045694936817
200,40,0.2,1.0,0.0,5.0,14,True,True,,1.0,454175949,1394.4633159949944,5.000000000000001,LAD,0.5375390555231088
200,40,0.2,1.0,0.0,5.0,14,True,True,,1.0,454175949,1394.4633159949944,5.000000000000001,Huber,0.46309740421478357
200,40,0.2,1.0,0.0,5.0,15,True,True,,1.0,1688822098,2051.6132810771637,5.0,OLS,8.566190714266238
200,40,0.2,1.0,0.0,5.0,15,True,True,,1.0,1688822098,2051.6132810771637,5.0,LAD,0.7853697968559434
200,40,0.2,1.0,0.0,5.0,15,True,True,,1.0,1688822098,2051.6132810771637,5.0,Huber,0.6871729170250559
200,40,0.2,1.0,0.0,5.0,16,True,True,,1.0,666891229,1098.4713993975881,5.0,OLS,6.717852892472477
200,40,0.2,1.0,0.0,5.0,16,True,True,,1.0,666891229,1098.4713993975881,5.0,LAD,0.1923104179762573
200,40,0.2,1.0,0.0,5.0,16,True,True,,1.0,666891229,1098.4713993975881,5.0,Huber,0.20820564506325442
200,40,0.2,1.0,0.0,5.0,17,True,True,,1.0,1587758371,1040.1256494547706,5.0,OLS,7.215709291899673
200,40,0.2,1.0,0.0,5.0,17,True,True,,1.0,1587758371,1040.1256494547706,5.0,LAD,0.11366081950021582
200,40,0.2,1.0,0.0,5.0,17,True,True,,1.0,1587758371,1040.1256494547706,5.0,Huber,0.006930055693238291
200,40,0.2,1.0,0.0,5.0,18,True,True,,1.0,794636919,2041.0003348623025,5.000000000000001,OLS,10.417203212208303
200,40,0.2,1.0,0.0,5.0,18,True,True,,1.0,794636919,2041.0003348623025,5.000000000000001,LAD,0.10450867391848362
200,40,0.2,1.0,0.0,5.0,18,True,True,,1.0,794636919,2041.0003348623025,5.000000000000001,Huber,0.07501944141790491
200,40,0.2,1.0,0.0,5.0,19,True,True,,1.0,280816631,1700.3712446354075,4.999999999999999,OLS,10.357603449197867
200,40,0.2,1.0,0.0,5.0,19,True,True,,1.0,280816631,1700.3712446354075,4.999999999999999,LAD,2.3635056272740593
200,40,0.2,1.0,0.0,5.0,19,True,True,,1.0,280816631,1700.3712446354075,4.999999999999999,Huber,2.2456295986942636
200,40,0.2,1.0,0.0,5.0,20,True,True,,1.0,1930508824,1231.7501114283423,5.000000000000002,OLS,6.902277741076079
200,40,0.2,1.0,0.0,5.0,20,True,True,,1.0,1930508824,1231.7501114283423,5.000000000000002,LAD,0.5278289423663093
200,40,0.2,1.0,0.0,5.0,20,True,True,,1.0,1930508824,1231.7501114283423,5.000000000000002,Huber,0.2082561979146619
200,40,0.2,1.0,0.0,5.0,21,True,True,,1.0,1252602694,1328.4742367217889,5.0,OLS,6.833890635121375
